test_index,true_label,tfidf_pred,tfidf_conf,Fine-tuned DistilBERT_pred,Fine-tuned DistilBERT_conf,tfidf_correct,Fine-tuned DistilBERT_correct,text,tfidf_product_masked_pred,tfidf_flipped_after_product_masking,Fine-tuned DistilBERT_product_masked_pred,Fine-tuned DistilBERT_flipped_after_product_masking,case_type,max_conf
412,Credit reporting,Debt collection,0.5111366244870585,Credit reporting,0.9729994535446167,False,True,"Experian has listed on my credit report a debt that was abolished by XXXX XXXX in XXXX 2013. This was a joint account as I co-signed for a coworker to purchase a used car. XXXX XXXX agreed to relieve me of all financial obligation, garnishments, and prompt deletion of credit entries in exchange for a one-time payment of {$3000.00}. The payment was immediately rendered and the stipulations were signed by a judge of the XXXX County District Court that same month. Experian keeps verifying the debt as valid because XXXX XXXX is supplying fictitious information because collection efforts remain in effect for XXXX party on account. XXXX County District Court has assured me that they do not verify debts, make entries to credit reports or make deletions. 
XXXX also has an account listed by XXXX XXXX in the amount of {$81.00}. This account was paid directly to XXXX several months ago. I was never contacted by XXXX by any means. The representative that I spoke with said the account would be deleted but she could not send in writing. She referred me to a website to print a paid letter. I have proof that I paid XXXX directly. 
XXXX is also listing the erroneous account by XXXX XXXX as past due in the amount of {$1500.00}. XXXX also has several collection accounts that have been paid and I have provided written proof supplied by the collection agency for medical bills. The companies are XXXX XXXX XXXX XXXX XXXX and XXXX collections. The collection companies agreed to delete the entries electronically but they remain on my credit file. 
Additionally, XXXX XXXX XXXX has an open claim with XXXX XXXX for damages on a vehicle that I rented in South Dakota from XX/XX/XXXX thru XX/XX/XXXX while on of several travel contracts for work at XXXX XXXX XXXX. I was never notified and allowed to investigate the validity of the debt. When I realized it on my credit report, I called XXXX XXXX and spoke with XXXX XXXX who agreed to delete the entry if I paid her because she did not believe the XXXX would pay the "" extra fees ''. The was minor under baggage damage that was not visible to me when the vehicle was returned. I was made aware of the collection efforts when I checked my credit earlier this year. This account appears on my Experian credit report and was verified as valid. I never received notice of the debt. I was never allowed to investigate the validity of the alleged debt. 
Lastly, XXXX XXXX XXXX was paid {$720.00} in XX/XX/XXXX in an effort to have them remove a collection from my XXXX and Experian credit reports. Despite me never contracting with company I paid them because XXXX refused to collect the monies owed to them. I now have a delinquent XXXX entry and a XXXX XXXX collection account for the same debt. I have made several calls to request deletion of improper entry to my credit report but was told it is not their policy to delete especially since I had already paid. I never received notices. The item just appeared on my credit report. I was never allowed to validate the debt.",Debt collection,False,Credit reporting,False,tfidf_wrong_comparison_right,0.9729994535446167
394,Mortgage,Bank account or service,0.42029584943172793,Mortgage,0.9676297903060913,False,True,"Dear President of MB Financial. 
Please be advised that my subject loan # was tagged with a 30-60 late for no reason on XXXX 2015. 
The XXXX check was deposit XXXX check # XXXX, ( It was 3 days before XXXX XXXX ) I have proof of each and every payment. 
I was trying to work out the details with your Customer Service Rep and I am getting no place. 

I am asking your help today.",Bank account or service,False,Credit card,True,tfidf_wrong_comparison_right,0.9676297903060913
266,Debt collection,Credit reporting,0.4083897923954467,Debt collection,0.9545652866363525,False,True,"I have no idea where this debt has come from. I have never opened an account with XXXX Anyone Can use your name to open an account if they have colllected your personal information. I feel asif someone maybe a family member or friend took my personal information for their own benefit and opened a cellphone Account. They obviously did n't finish paying because let 's be honest, it wo n't fall back on them. I 'm Only XXXX years old, just starting off my credit score.. And my life as well, I need this fixed. 

Thank you sincerely, XXXX XXXX XXXX",Bank account or service,True,Debt collection,False,tfidf_wrong_comparison_right,0.9545652866363525
815,Credit reporting,Credit card,0.8861201997763893,Credit reporting,0.9426813125610352,False,True,"my credit report is skewed because of the amount of money owed related to the credit limit. 
I have a XXXX credit card, that had a credit limit of {$13000.00} in 2014. They reduced thelimit to {$9200.00}. This increased my "" debt to limit ratio '' to an unfavorable rate. I am penalizedtwice. I did have late payment which I do not challenge. But the ratios that are used do nottake into account the reduction in the new limit. XXXX reason it was reduced- lack of use inXXXX stores.",Credit card,False,Credit card,True,tfidf_wrong_comparison_right,0.9426813125610352
312,Credit card,Bank account or service,0.4542837217053199,Credit card,0.9416877031326294,False,True,"I contracted with XXXX XXXX XXXX in XXXX, XXXX to conduct my move from XXXX to XXXX, XXXX. I paid for the entire move, over {$8000.00} on a Merrill Lynch, XXXX card which is owned by Bank of America. 
My move went horribly by the mover. XXXX split my shipment in to XXXX-differen shipments, with the second shipment arriving 19-days after the first. Many needed household items were missing from the XXXX shipment, in which we had to go out and purchase replacement items. 
I submitted to Merrill Lynch credit card to hold {$500.00} from payment, since XXXX was unresponsive to my requests. Merrill Lynch waited over 30-days and stated that company was entitled to payment, even though moving company did not live up to its contract.",Bank account or service,False,Bank account or service,True,tfidf_wrong_comparison_right,0.9416877031326294
495,Credit reporting,Credit reporting,0.5689533104180152,Bank account or service,0.9683008193969727,True,False,"To whom it may concern : I attempted a Second Chance Bank Account at XXXX XXXX XXXX yesterday in Michigan and the teller was unable to proceed due to the Fraud Alert based on my address being a "" Restaurant/Bar ''. A mistake was made when the addresses were filled out, and not because of me. I used to have a "" XXXX XXXX '' mailbox at XXXX XXXX XXXX XXXX # XXXX, XXXX XXXX, MI XXXX. XXXX XXXX is similar to a XXXX XXXX allowing customers to get their mail at a box. XXXX stores down was the XXXX XXXX, a restaurant which has moved. I am unaware if a new restaurant moved in. There is also a XXXX 's store, a fitness gym, Social Security Administration. Please view the link which will show that the address XXXX XXXX XXXX XXXX is XXXX XXXX. XXXXPlease delete the wrong addresses. It is causing me financial harm and I never applied with these wrong addresses. Further more, I am a victim of Identity Theft. One of the police reports : XXXX XXXX, MI is XXXX.",Credit reporting,False,Bank account or service,False,tfidf_right_comparison_wrong,0.9683008193969727
389,Bank account or service,Bank account or service,0.601039578472709,Credit card,0.951687216758728,True,False,"Originally, I had linked my Chase credit card to my Chase checking account since they informed me that this would be convenient in case I get overdrafted on certain bills I have set up for auto pay. When I did get overdrafted, I was told that it would be charged to my credit card versus me getting charged for the overdraft fees, which was great. But soon I realized that every overdraft became a CASH ADVANCE towards my credit card, and I was never told that they would be cash advances at really high rates. Of course they have zero remorse for not informing me of this. I walked into a branch and demanded they remove the link from my checking account and credit card account, and to stop any overage charges or attempts. They say sure, and mind you this is a Chase Supervisor, female, within the branch and answers with such arrogance, and just rude as I ask a few questions, and adds that they would need to charge me XXXX ~ XXXX dollars to remove the link. Wow.. what thieves. Today I check my accounts and both accounts seems to be linked to my credit card STILL, and now again charges my credit card.. I feel this violates my rights and what was confirmed to have been done at a branch which I saw with my own eyes, and yet they decide to charge me again. I feel this is almost fraudulant, as this was unauthorized for Chase to do without my knowledge or my permission. And I have not even received a call from them, or any notices as of today. I am not sure who I can possibly report this to or how I can get this resolved other than having to stop banking with this fraudulant bank. I have banked with them for so many years, and yet they have no attempt of resolving any issues with me, whether it be over the phone or even at the branch. Nothing but bunch of arrogant supervisors which consumers like myself, have to deal with which is not very attractive, and very difficult to approach when dealing with this type of subject in the matter of our own money and funds.",Bank account or service,False,Credit card,False,tfidf_right_comparison_wrong,0.951687216758728
778,Debt collection,Debt collection,0.4328215543441539,Bank account or service,0.9448719620704651,True,False,"Northland group called me and I set up payment arrangements. For 3 years they have been taking money out of my account. In XXXX XXXX they told me my payment arrangement had ran out and that I had a balance of {$390.00} and I needed to call to make further arrangements. They had taken {$25.00} out for XXXX so I thought it was a mistake. I called them on XXXX XXXX and there was no answer so I figured since they took payment in XXXX it was nothing to worry about. They did take in XXXX so again I just assumed it was reinstated. In XXXX the company that has been taking money from the account took only {$10.00}. I called Northland group and they told me my account was moved and they have not had it since XXXX XXXX, XXXX. I told them they were still taking money form my account. I faxed them my bank statement, letters showing that the last payment they acknowledged was XXXX XXXX and the letter that I was to make new arrangements. I told them I never got a pay off letter from them and they said because it was sent back to XXXX XXXX XXXX. They also said it was not them taking the money out of my account because it did n't say their name. I called XXXX XXXX XXXX and they said it was paid in full in XXXX. My husband has to call to get a payment in full letter. I called XXXX and they gave me the number of XXXX XXXX XXXX who is responsible for taking the money out for XXXX XXXX. The phone number that the bank gave me was for a private person Who claims to know nothing about this. XXXX credit my account and then uncredited my account since this is over 90 days. In the meantime I had XXXX put a stop payment on XXXX XXXX on XXXX/XXXX/XXXX for $ XXXX.",Debt collection,False,Bank account or service,False,tfidf_right_comparison_wrong,0.9448719620704651
264,Bank account or service,Bank account or service,0.5857814779612196,Credit card,0.9250972270965576,True,False,"Thank you for submitting an Online Consumer Complaint. A representative from the Consumer Services Office may contact youto follow up. 

Here is a copy of the information you provided. Please save for your records. 

Please do not reply to this email. 



Name : XXXX XXXXAddress : XXXX, PA XXXXHome Phone : Day Phone : XXXX Ext : Email Address : XXXXXXXXXXXX Name : wells fargoAccount/Loan # : XXXXInstitution Address:XXXX XXXX XXXX XXXX. 
XXXX, pa. XXXXReason for Contact : On XXXX XXXX 2015 th I authorized my credit card ( XXXX XXXX ) to debit my account on XXXX XXXX XXXX for XXXX. on sat XXXX XXXX 2015 my credit card credited my card with the XXXX payment as if it was received. on monday XXXX XXXX XXXX 2015 wells fargo removed the XXXX from my account. later that day. i overdrew my account. using overdraft protection. yet they ( wells fargo ) still charged me XXXX XXXX overdraft fees. i politely asked them to be fair and human and just charge me XXXX. however the refused. I know its inhumane however im uncertain whether they violated any laws. also when i contacted them a representative tried to tell me my credit card company credited my account but they didnt actually take the funds until later. any event the funds were removed. prior to me overdrawing. 

Signature : XXXXDate : XXXX/XXXX/2015Name of Attached File:",Bank account or service,False,Bank account or service,True,tfidf_right_comparison_wrong,0.9250972270965576
199,Credit card,Credit card,0.8579471899147779,Credit reporting,0.9106876254081726,True,False,This company XXXX I have had for close to 3 years. I was able to see my report when I pulled my credit on XXXX. Sometime in XX/XX/XXXX this credit card company reported the account as closed but it was not. I called the company and they refused to fix the issue. This falls report on my account cost me XXXX points.,Credit card,False,Credit reporting,False,tfidf_right_comparison_wrong,0.9106876254081726
892,Debt collection,Credit reporting,0.9903007063474439,Credit reporting,0.9721373319625854,False,False,This is not my bill. I am disputing the experian credit bureau to remove this from my credit report,Credit reporting,False,Debt collection,True,both_wrong,0.9903007063474439
535,Debt collection,Bank account or service,0.7581651563298262,Bank account or service,0.9773576855659485,False,False,"In XXXX of this year, Messerli and Kramer, froze my savings account and on XXXX XXXX, 2015 they had the bank send them a check for {$320.00} and then they released my account. They did this even though they were told that I was on XXXX Assistance in Minnesota. According to Minnesota state law, they were not allowed to garnish my account for at least 6 months after I am off of assistance. I would like my money back and have them charged with whatever crime they have committed against the law.",Bank account or service,False,Bank account or service,False,both_wrong,0.9773576855659485
730,Debt collection,Mortgage,0.8543619201798691,Mortgage,0.9765037894248962,False,False,"I have enclosed documentation but briefly Nationstar Mortgage was servicing a non secured loan that was discharged in Bankruptcy Court in 2013. Approximately a year and a half later I began receiving "" Informational '' statements from them that look exactly like invoices. I have attempted to have them stopped being sent and have been assured by their staff it would but they continue to send these. I would appreciate any assistance on your part to review and assist me with this matter.",Mortgage,False,Mortgage,False,both_wrong,0.9765037894248962
895,Credit card,Debt collection,0.9744533151974512,Debt collection,0.9341402053833008,False,False,I verbally asked Asset Recovery to remove my work phone number and to cease calling me at my work however they have continued to call me at work.,Debt collection,False,Debt collection,False,both_wrong,0.9744533151974512
49,Bank account or service,Mortgage,0.9123023675346243,Mortgage,0.9729232788085938,False,False,"I had a Mortgage with XXXX in XX/XX/XXXX they sold the Loan to Bank of America, shortly after I had been with Bank of America, Bank of America send me a letter stating I was 10 months behind, I explained how can that be when I have not had my Mortgage with them for that Long, they explained that I had been behind with XXXX XXXX, I send them proof of my payment of the Months they stated I did not pay, I had made the payments thru XXXX XXXX, Bank of America send me another letter stating they wanted a letter from XXXX XXXX stating that they received the payments, XXXX XXXX send them the exact same thing I send them, Bank of America wanted more from XXXX XXXX, and XXXX XXXX said they have send them all that they can send that is proof of payment received and payment send. I could not get Bank of America to budge, I did not want to loose my Home so I applied for a Modification, Bank of America denied the Modification and I was forced to file Bankruptcy this was in XXXX my Bankruptcy discharged in XX/XX/XXXX. I applied for a Job with XXXX XXXX XXXX and they pulled my credit, XXXX XXXX showed up on my credit report they are showing I am late on the Mortgage XXXX and XXXX, XXXX I called XXXX XXXX and I explained I do not have a Mortgage with them, they told me they Purchased the Loan from Bank of America their Balance showing is {$140000.00}. I had a Balance with Bank of America for {$110000.00} please help me, this is hurting my credit and hurting me from getting a job with any Bank. I can be reached @ XXXX I will be happy to provide my Bankruptcy papers if you need them. 
Thank YouSincerelyXXXX XXXX",Mortgage,False,Mortgage,False,both_wrong,0.9729232788085938
